TISSUE,CELL_LINE_NAME
Stomach,NUGC-4
Stomach,OCUM-1
Stomach,RERF-GC-1B
Stomach,SK-GT-2
Stomach,SNU-1
Stomach,SNU-16
Stomach,SNU-5
Stomach,TGBC11TKB
Thyroid,8305C
Thyroid,8505C
Thyroid,ASH-3
Thyroid,B-CPAP
Thyroid,BHT-101
Thyroid,CAL-62
Thyroid,CGTH-W-1
Thyroid,FTC-133
Thyroid,HTC-C3
Thyroid,IHH-4
Thyroid,K5
Thyroid,RO82-W-1
Thyroid,TT
Thyroid,TT2609-C02
